书名,评分,作者/出版信息,出版年份,短评总赞,短简介,链接
唐诗三百首,9.4,蘅塘退士 / 中华书局 / 1984-07-01 / 0.65,1984.0,1939,熟读唐诗三百首，不会吟诗也会吟,https://book.douban.com/subject/1013267/
美的历程,9.2,李泽厚 / 生活·读书·新知三联书店 / 2009-7 / 43.00元,2009.0,1919,中国美学经典之作,https://book.douban.com/subject/3410718/
上帝掷骰子吗: 量子物理史话,9.2,曹天元 / 辽宁教育出版社 / 2006-1 / 32.00元,2006.0,2168,量子物理史话,https://book.douban.com/subject/1467022/
灿烂千阳,8.9,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2007-9 / 28.00元,2007.0,9762,唯有希望与爱可以驱散阴霾,https://book.douban.com/subject/2143732/
历史深处的忧虑: 近距离看美国之一,9.0,林达 / 生活·读书·新知三联书店 / 1997-5 / 19.00元,1997.0,3096,窥见美国社会的一扇窗,https://book.douban.com/subject/1027191/
筚路维艰: 中国社会主义路径的五次选择,9.5,萧冬连 / 社会科学文献出版社 / 2014-10-1 / 45.00元,2014.0,3445,,https://book.douban.com/subject/26171466/
窗边的小豆豆,8.9,[日] 黑柳彻子 著 / 赵玉皎 / 南海出版公司 / 2003-1 / 20.00元,2003.0,9617,真正懂孩子的教育经,https://book.douban.com/subject/1007914/
哭泣的骆驼,9.0,三毛 / 哈尔滨出版社 / 2003-6 / 15.80元,2003.0,1172,沙漠中寻常的生与死,https://book.douban.com/subject/1029111/
最好的告别: 关于衰老与死亡，你必须知道的常识,9.0,[美] 阿图·葛文德（Atul Gawande） / 王一方 主编 / 浙江人民出版社 / 2015-7-31 / 54.90元,2015.0,3427,关于衰老与死亡，你必须知道的常识,https://book.douban.com/subject/26576861/
呼兰河传: 1947年版本・原版珍藏,9.0,萧红 / 百花文艺出版社 / 2005-01 / 19.00,2005.0,8360,萧红的童年往事,https://book.douban.com/subject/1060852/
冬牧场,9.1,李娟 / 新星出版社 / 2012-6 / 29.80元,2012.0,4704,阿勒泰的精灵,https://book.douban.com/subject/10522856/
棋王·树王·孩子王: 阿城文集 之一,9.2,阿城 / 江苏凤凰文艺出版社 / 2016-3-1 / 58.00,2016.0,3159,,https://book.douban.com/subject/26734559/
人间词话,9.1,王国维 / 上海古籍出版社 / 1998-12 / 9.80元,1998.0,1016,以新眼光评旧文学,https://book.douban.com/subject/1203426/
罪与罚,9.3,[俄] 陀思妥耶夫斯基 / 岳麟 / 上海译文出版社 / 2006-8 / 23.00元,2006.0,4533,描绘人内心的全部深度,https://book.douban.com/subject/1858568/
